granularity;manufacturer;device;series;manufacturer_type;catalog_number;rated_current_A;poles_total;poles_protected;pole_configuration;characteristic;breaking_capacity_kA;residual_current_mA;rcd_type;voltage_type;heat_loss_W;heat_loss_basis;catalog_status;verification;notes;source_url
variant;ABB;Jističochránič;DS201 M;DS201 M 1P+N B32 A 30mA;;32;2;1;1P+N;B;10;30;A;AC;;;current;official_family_matrix;"Rozbalená řada DS201/DS201 M; proudy nad přímo nalezené SKU jsou vedeny jako katalogová matice k následné validaci katalogového čísla.";https://nizke-napeti.cz.abb.com/ds201-typ-a-6ka-sirka-2-moduly-19760/ds201-c16-a30-kombinace-jistic/chranic-2csr255180r1164
variant;ABB;Jističochránič;DS201 M;DS201 M 1P+N B32 A 30mA;;32;2;1;1P+N;B;10;30;A;AC;;;current;catalog_matrix;;https://library.e.abb.com/public/ebd37fb8b69e4608b50fb23477a058db/ABB_System%20proMcompact_katalogSK17.pdf
variant;ABB;Jističochránič;DS201 M;DS201 M 1P+N C32 A 30mA;;32;2;1;1P+N;C;10;30;A;AC;;;current;official_family_matrix;"Rozbalená řada DS201/DS201 M; proudy nad přímo nalezené SKU jsou vedeny jako katalogová matice k následné validaci katalogového čísla.";https://nizke-napeti.cz.abb.com/ds201-typ-a-6ka-sirka-2-moduly-19760/ds201-c16-a30-kombinace-jistic/chranic-2csr255180r1164
variant;ABB;Jističochránič;DS201 M;DS201 M 1P+N C32 A 30mA;;32;2;1;1P+N;C;10;30;A;AC;;;current;catalog_matrix;;https://library.e.abb.com/public/ebd37fb8b69e4608b50fb23477a058db/ABB_System%20proMcompact_katalogSK17.pdf
variant;ABB;Jističochránič;DS201 M;DS201 M 1P+N B40 A 30mA;;40;2;1;1P+N;B;10;30;A;AC;;;current;official_family_matrix;"Rozbalená řada DS201/DS201 M; proudy nad přímo nalezené SKU jsou vedeny jako katalogová matice k následné validaci katalogového čísla.";https://nizke-napeti.cz.abb.com/ds201-typ-a-6ka-sirka-2-moduly-19760/ds201-c16-a30-kombinace-jistic/chranic-2csr255180r1164
variant;ABB;Jističochránič;DS201 M;DS201 M 1P+N B40 A 30mA;;40;2;1;1P+N;B;10;30;A;AC;;;current;catalog_matrix;;https://library.e.abb.com/public/ebd37fb8b69e4608b50fb23477a058db/ABB_System%20proMcompact_katalogSK17.pdf
variant;ABB;Jističochránič;DS201 M;DS201 M 1P+N C40 A 30mA;;40;2;1;1P+N;C;10;30;A;AC;;;current;official_family_matrix;"Rozbalená řada DS201/DS201 M; proudy nad přímo nalezené SKU jsou vedeny jako katalogová matice k následné validaci katalogového čísla.";https://nizke-napeti.cz.abb.com/ds201-typ-a-6ka-sirka-2-moduly-19760/ds201-c16-a30-kombinace-jistic/chranic-2csr255180r1164
variant;ABB;Jističochránič;DS201 M;DS201 M 1P+N C40 A 30mA;;40;2;1;1P+N;C;10;30;A;AC;;;current;catalog_matrix;;https://library.e.abb.com/public/ebd37fb8b69e4608b50fb23477a058db/ABB_System%20proMcompact_katalogSK17.pdf
series;ABB;Jističochránič;DS202C;;;;;;;;;;;;;;current;series_from_manufacturer_catalog;RCBO 2P;https://library.e.abb.com/public/aebbbf59babb402f994f3a4346753e50/2CDC002178B0104.pdf
variant;ABB;Jističochránič;DS202C;DS202C 2P B6 A 30mA;;6;2;2;2P;B;6;30;A;AC;;;current;catalog_matrix;;https://library.e.abb.com/public/ebd37fb8b69e4608b50fb23477a058db/ABB_System%20proMcompact_katalogSK17.pdf
variant;ABB;Jističochránič;DS202C;DS202C 2P C6 A 30mA;;6;2;2;2P;C;6;30;A;AC;;;current;catalog_matrix;;https://library.e.abb.com/public/ebd37fb8b69e4608b50fb23477a058db/ABB_System%20proMcompact_katalogSK17.pdf
variant;ABB;Jističochránič;DS202C;DS202C 2P B10 A 30mA;;10;2;2;2P;B;6;30;A;AC;;;current;catalog_matrix;;https://library.e.abb.com/public/ebd37fb8b69e4608b50fb23477a058db/ABB_System%20proMcompact_katalogSK17.pdf
variant;ABB;Jističochránič;DS202C;DS202C 2P C10 A 30mA;;10;2;2;2P;C;6;30;A;AC;;;current;catalog_matrix;;https://library.e.abb.com/public/ebd37fb8b69e4608b50fb23477a058db/ABB_System%20proMcompact_katalogSK17.pdf
variant;ABB;Jističochránič;DS202C;DS202C 2P B13 A 30mA;;13;2;2;2P;B;6;30;A;AC;;;current;catalog_matrix;;https://library.e.abb.com/public/ebd37fb8b69e4608b50fb23477a058db/ABB_System%20proMcompact_katalogSK17.pdf
variant;ABB;Jističochránič;DS202C;DS202C 2P C13 A 30mA;;13;2;2;2P;C;6;30;A;AC;;;current;catalog_matrix;;https://library.e.abb.com/public/ebd37fb8b69e4608b50fb23477a058db/ABB_System%20proMcompact_katalogSK17.pdf
variant;ABB;Jističochránič;DS202C;DS202C 2P B16 A 30mA;;16;2;2;2P;B;6;30;A;AC;;;current;catalog_matrix;;https://library.e.abb.com/public/ebd37fb8b69e4608b50fb23477a058db/ABB_System%20proMcompact_katalogSK17.pdf
variant;ABB;Jističochránič;DS202C;DS202C 2P C16 A 30mA;;16;2;2;2P;C;6;30;A;AC;;;current;catalog_matrix;;https://library.e.abb.com/public/ebd37fb8b69e4608b50fb23477a058db/ABB_System%20proMcompact_katalogSK17.pdf
variant;ABB;Jističochránič;DS202C;DS202C 2P B20 A 30mA;;20;2;2;2P;B;6;30;A;AC;;;current;catalog_matrix;;https://library.e.abb.com/public/ebd37fb8b69e4608b50fb23477a058db/ABB_System%20proMcompact_katalogSK17.pdf
variant;ABB;Jističochránič;DS202C;DS202C 2P C20 A 30mA;;20;2;2;2P;C;6;30;A;AC;;;current;catalog_matrix;;https://library.e.abb.com/public/ebd37fb8b69e4608b50fb23477a058db/ABB_System%20proMcompact_katalogSK17.pdf
variant;ABB;Jističochránič;DS202C;DS202C 2P B25 A 30mA;;25;2;2;2P;B;6;30;A;AC;;;current;catalog_matrix;;https://library.e.abb.com/public/ebd37fb8b69e4608b50fb23477a058db/ABB_System%20proMcompact_katalogSK17.pdf
variant;ABB;Jističochránič;DS202C;DS202C 2P C25 A 30mA;;25;2;2;2P;C;6;30;A;AC;;;current;catalog_matrix;;https://library.e.abb.com/public/ebd37fb8b69e4608b50fb23477a058db/ABB_System%20proMcompact_katalogSK17.pdf
variant;ABB;Jističochránič;DS202C;DS202C 2P B32 A 30mA;;32;2;2;2P;B;6;30;A;AC;;;current;catalog_matrix;;https://library.e.abb.com/public/ebd37fb8b69e4608b50fb23477a058db/ABB_System%20proMcompact_katalogSK17.pdf
variant;ABB;Jističochránič;DS202C;DS202C 2P C32 A 30mA;;32;2;2;2P;C;6;30;A;AC;;;current;catalog_matrix;;https://library.e.abb.com/public/ebd37fb8b69e4608b50fb23477a058db/ABB_System%20proMcompact_katalogSK17.pdf
variant;ABB;Jističochránič;DS202C;DS202C 2P B40 A 30mA;;40;2;2;2P;B;6;30;A;AC;;;current;catalog_matrix;;https://library.e.abb.com/public/ebd37fb8b69e4608b50fb23477a058db/ABB_System%20proMcompact_katalogSK17.pdf
variant;ABB;Jističochránič;DS202C;DS202C 2P C40 A 30mA;;40;2;2;2P;C;6;30;A;AC;;;current;catalog_matrix;;https://library.e.abb.com/public/ebd37fb8b69e4608b50fb23477a058db/ABB_System%20proMcompact_katalogSK17.pdf
series;ABB;Jističochránič;DS203NC;;;;;;;;;;;;;;current;series_from_manufacturer_catalog;RCBO 3P+N;https://library.e.abb.com/public/aebbbf59babb402f994f3a4346753e50/2CDC002178B0104.pdf
series;BONEGA;Jističochránič;PEP-10PJ;;;;;;;;;;;;;;current;series_from_manufacturer_catalog;RCBO 10 kA;https://www.bonega.cz/elektro/elektro.asp
variant;BONEGA;Jističochránič;PEP-10PJ 1M;PEP-10PJ 1M B1 AC 100mA;;1;1;1;1P;B;10;100;AC;AC;;;current;official_family_matrix;"Elektronické RCBO; jednomodulová varianta bez odpínání N dle výrobce.";https://www.bonega.cz/elektro/pep_chranicojistic_rcbo_10ka/obchod-sortiment.htm
variant;BONEGA;Jističochránič;PEP-10PJ 1M;PEP-10PJ 1M B1 AC 300mA;;1;1;1;1P;B;10;300;AC;AC;;;current;official_family_matrix;"Elektronické RCBO; jednomodulová varianta bez odpínání N dle výrobce.";https://www.bonega.cz/elektro/pep_chranicojistic_rcbo_10ka/obchod-sortiment.htm
variant;BONEGA;Jističochránič;PEP-10PJ 1M;PEP-10PJ 1M B1 AC 30mA;;1;1;1;1P;B;10;30;AC;AC;;;current;official_family_matrix;"Elektronické RCBO; jednomodulová varianta bez odpínání N dle výrobce.";https://www.bonega.cz/elektro/pep_chranicojistic_rcbo_10ka/obchod-sortiment.htm
variant;BONEGA;Jističochránič;PEP-10PJ 1M;PEP-10PJ 1M C1 AC 100mA;;1;1;1;1P;C;10;100;AC;AC;;;current;official_family_matrix;"Elektronické RCBO; jednomodulová varianta bez odpínání N dle výrobce.";https://www.bonega.cz/elektro/pep_chranicojistic_rcbo_10ka/obchod-sortiment.htm
variant;BONEGA;Jističochránič;PEP-10PJ 1M;PEP-10PJ 1M C1 AC 300mA;;1;1;1;1P;C;10;300;AC;AC;;;current;official_family_matrix;"Elektronické RCBO; jednomodulová varianta bez odpínání N dle výrobce.";https://www.bonega.cz/elektro/pep_chranicojistic_rcbo_10ka/obchod-sortiment.htm
variant;BONEGA;Jističochránič;PEP-10PJ 1M;PEP-10PJ 1M C1 AC 30mA;;1;1;1;1P;C;10;30;AC;AC;;;current;official_family_matrix;"Elektronické RCBO; jednomodulová varianta bez odpínání N dle výrobce.";https://www.bonega.cz/elektro/pep_chranicojistic_rcbo_10ka/obchod-sortiment.htm
variant;BONEGA;Jističochránič;PEP-10PJ 1M;PEP-10PJ 1M D1 AC 100mA;;1;1;1;1P;D;10;100;AC;AC;;;current;official_family_matrix;"Elektronické RCBO; jednomodulová varianta bez odpínání N dle výrobce.";https://www.bonega.cz/elektro/pep_chranicojistic_rcbo_10ka/obchod-sortiment.htm
variant;BONEGA;Jističochránič;PEP-10PJ 1M;PEP-10PJ 1M D1 AC 300mA;;1;1;1;1P;D;10;300;AC;AC;;;current;official_family_matrix;"Elektronické RCBO; jednomodulová varianta bez odpínání N dle výrobce.";https://www.bonega.cz/elektro/pep_chranicojistic_rcbo_10ka/obchod-sortiment.htm
variant;BONEGA;Jističochránič;PEP-10PJ 1M;PEP-10PJ 1M D1 AC 30mA;;1;1;1;1P;D;10;30;AC;AC;;;current;official_family_matrix;"Elektronické RCBO; jednomodulová varianta bez odpínání N dle výrobce.";https://www.bonega.cz/elektro/pep_chranicojistic_rcbo_10ka/obchod-sortiment.htm
variant;BONEGA;Jističochránič;PEP-10PJ 1M;PEP-10PJ 1M B2 AC 100mA;;2;1;1;1P;B;10;100;AC;AC;;;current;official_family_matrix;"Elektronické RCBO; jednomodulová varianta bez odpínání N dle výrobce.";https://www.bonega.cz/elektro/pep_chranicojistic_rcbo_10ka/obchod-sortiment.htm
variant;BONEGA;Jističochránič;PEP-10PJ 1M;PEP-10PJ 1M B2 AC 300mA;;2;1;1;1P;B;10;300;AC;AC;;;current;official_family_matrix;"Elektronické RCBO; jednomodulová varianta bez odpínání N dle výrobce.";https://www.bonega.cz/elektro/pep_chranicojistic_rcbo_10ka/obchod-sortiment.htm
variant;BONEGA;Jističochránič;PEP-10PJ 1M;PEP-10PJ 1M B2 AC 30mA;;2;1;1;1P;B;10;30;AC;AC;;;current;official_family_matrix;"Elektronické RCBO; jednomodulová varianta bez odpínání N dle výrobce.";https://www.bonega.cz/elektro/pep_chranicojistic_rcbo_10ka/obchod-sortiment.htm
variant;BONEGA;Jističochránič;PEP-10PJ 1M;PEP-10PJ 1M C2 AC 100mA;;2;1;1;1P;C;10;100;AC;AC;;;current;official_family_matrix;"Elektronické RCBO; jednomodulová varianta bez odpínání N dle výrobce.";https://www.bonega.cz/elektro/pep_chranicojistic_rcbo_10ka/obchod-sortiment.htm
variant;BONEGA;Jističochránič;PEP-10PJ 1M;PEP-10PJ 1M C2 AC 300mA;;2;1;1;1P;C;10;300;AC;AC;;;current;official_family_matrix;"Elektronické RCBO; jednomodulová varianta bez odpínání N dle výrobce.";https://www.bonega.cz/elektro/pep_chranicojistic_rcbo_10ka/obchod-sortiment.htm
variant;BONEGA;Jističochránič;PEP-10PJ 1M;PEP-10PJ 1M C2 AC 30mA;;2;1;1;1P;C;10;30;AC;AC;;;current;official_family_matrix;"Elektronické RCBO; jednomodulová varianta bez odpínání N dle výrobce.";https://www.bonega.cz/elektro/pep_chranicojistic_rcbo_10ka/obchod-sortiment.htm
variant;BONEGA;Jističochránič;PEP-10PJ 1M;PEP-10PJ 1M D2 AC 100mA;;2;1;1;1P;D;10;100;AC;AC;;;current;official_family_matrix;"Elektronické RCBO; jednomodulová varianta bez odpínání N dle výrobce.";https://www.bonega.cz/elektro/pep_chranicojistic_rcbo_10ka/obchod-sortiment.htm
variant;BONEGA;Jističochránič;PEP-10PJ 1M;PEP-10PJ 1M D2 AC 300mA;;2;1;1;1P;D;10;300;AC;AC;;;current;official_family_matrix;"Elektronické RCBO; jednomodulová varianta bez odpínání N dle výrobce.";https://www.bonega.cz/elektro/pep_chranicojistic_rcbo_10ka/obchod-sortiment.htm
variant;BONEGA;Jističochránič;PEP-10PJ 1M;PEP-10PJ 1M D2 AC 30mA;;2;1;1;1P;D;10;30;AC;AC;;;current;official_family_matrix;"Elektronické RCBO; jednomodulová varianta bez odpínání N dle výrobce.";https://www.bonega.cz/elektro/pep_chranicojistic_rcbo_10ka/obchod-sortiment.htm
variant;BONEGA;Jističochránič;PEP-10PJ 1M;PEP-10PJ 1M B3 AC 100mA;;3;1;1;1P;B;10;100;AC;AC;;;current;official_family_matrix;"Elektronické RCBO; jednomodulová varianta bez odpínání N dle výrobce.";https://www.bonega.cz/elektro/pep_chranicojistic_rcbo_10ka/obchod-sortiment.htm
variant;BONEGA;Jističochránič;PEP-10PJ 1M;PEP-10PJ 1M B3 AC 300mA;;3;1;1;1P;B;10;300;AC;AC;;;current;official_family_matrix;"Elektronické RCBO; jednomodulová varianta bez odpínání N dle výrobce.";https://www.bonega.cz/elektro/pep_chranicojistic_rcbo_10ka/obchod-sortiment.htm
variant;BONEGA;Jističochránič;PEP-10PJ 1M;PEP-10PJ 1M B3 AC 30mA;;3;1;1;1P;B;10;30;AC;AC;;;current;official_family_matrix;"Elektronické RCBO; jednomodulová varianta bez odpínání N dle výrobce.";https://www.bonega.cz/elektro/pep_chranicojistic_rcbo_10ka/obchod-sortiment.htm
variant;BONEGA;Jističochránič;PEP-10PJ 1M;PEP-10PJ 1M C3 AC 100mA;;3;1;1;1P;C;10;100;AC;AC;;;current;official_family_matrix;"Elektronické RCBO; jednomodulová varianta bez odpínání N dle výrobce.";https://www.bonega.cz/elektro/pep_chranicojistic_rcbo_10ka/obchod-sortiment.htm
variant;BONEGA;Jističochránič;PEP-10PJ 1M;PEP-10PJ 1M C3 AC 300mA;;3;1;1;1P;C;10;300;AC;AC;;;current;official_family_matrix;"Elektronické RCBO; jednomodulová varianta bez odpínání N dle výrobce.";https://www.bonega.cz/elektro/pep_chranicojistic_rcbo_10ka/obchod-sortiment.htm
variant;BONEGA;Jističochránič;PEP-10PJ 1M;PEP-10PJ 1M C3 AC 30mA;;3;1;1;1P;C;10;30;AC;AC;;;current;official_family_matrix;"Elektronické RCBO; jednomodulová varianta bez odpínání N dle výrobce.";https://www.bonega.cz/elektro/pep_chranicojistic_rcbo_10ka/obchod-sortiment.htm
variant;BONEGA;Jističochránič;PEP-10PJ 1M;PEP-10PJ 1M D3 AC 100mA;;3;1;1;1P;D;10;100;AC;AC;;;current;official_family_matrix;"Elektronické RCBO; jednomodulová varianta bez odpínání N dle výrobce.";https://www.bonega.cz/elektro/pep_chranicojistic_rcbo_10ka/obchod-sortiment.htm
variant;BONEGA;Jističochránič;PEP-10PJ 1M;PEP-10PJ 1M D3 AC 300mA;;3;1;1;1P;D;10;300;AC;AC;;;current;official_family_matrix;"Elektronické RCBO; jednomodulová varianta bez odpínání N dle výrobce.";https://www.bonega.cz/elektro/pep_chranicojistic_rcbo_10ka/obchod-sortiment.htm
variant;BONEGA;Jističochránič;PEP-10PJ 1M;PEP-10PJ 1M D3 AC 30mA;;3;1;1;1P;D;10;30;AC;AC;;;current;official_family_matrix;"Elektronické RCBO; jednomodulová varianta bez odpínání N dle výrobce.";https://www.bonega.cz/elektro/pep_chranicojistic_rcbo_10ka/obchod-sortiment.htm
variant;BONEGA;Jističochránič;PEP-10PJ 1M;PEP-10PJ 1M B4 AC 100mA;;4;1;1;1P;B;10;100;AC;AC;;;current;official_family_matrix;"Elektronické RCBO; jednomodulová varianta bez odpínání N dle výrobce.";https://www.bonega.cz/elektro/pep_chranicojistic_rcbo_10ka/obchod-sortiment.htm
variant;BONEGA;Jističochránič;PEP-10PJ 1M;PEP-10PJ 1M B4 AC 300mA;;4;1;1;1P;B;10;300;AC;AC;;;current;official_family_matrix;"Elektronické RCBO; jednomodulová varianta bez odpínání N dle výrobce.";https://www.bonega.cz/elektro/pep_chranicojistic_rcbo_10ka/obchod-sortiment.htm
variant;BONEGA;Jističochránič;PEP-10PJ 1M;PEP-10PJ 1M B4 AC 30mA;;4;1;1;1P;B;10;30;AC;AC;;;current;official_family_matrix;"Elektronické RCBO; jednomodulová varianta bez odpínání N dle výrobce.";https://www.bonega.cz/elektro/pep_chranicojistic_rcbo_10ka/obchod-sortiment.htm
variant;BONEGA;Jističochránič;PEP-10PJ 1M;PEP-10PJ 1M C4 AC 100mA;;4;1;1;1P;C;10;100;AC;AC;;;current;official_family_matrix;"Elektronické RCBO; jednomodulová varianta bez odpínání N dle výrobce.";https://www.bonega.cz/elektro/pep_chranicojistic_rcbo_10ka/obchod-sortiment.htm
variant;BONEGA;Jističochránič;PEP-10PJ 1M;PEP-10PJ 1M C4 AC 300mA;;4;1;1;1P;C;10;300;AC;AC;;;current;official_family_matrix;"Elektronické RCBO; jednomodulová varianta bez odpínání N dle výrobce.";https://www.bonega.cz/elektro/pep_chranicojistic_rcbo_10ka/obchod-sortiment.htm
variant;BONEGA;Jističochránič;PEP-10PJ 1M;PEP-10PJ 1M C4 AC 30mA;;4;1;1;1P;C;10;30;AC;AC;;;current;official_family_matrix;"Elektronické RCBO; jednomodulová varianta bez odpínání N dle výrobce.";https://www.bonega.cz/elektro/pep_chranicojistic_rcbo_10ka/obchod-sortiment.htm
variant;BONEGA;Jističochránič;PEP-10PJ 1M;PEP-10PJ 1M D4 AC 100mA;;4;1;1;1P;D;10;100;AC;AC;;;current;official_family_matrix;"Elektronické RCBO; jednomodulová varianta bez odpínání N dle výrobce.";https://www.bonega.cz/elektro/pep_chranicojistic_rcbo_10ka/obchod-sortiment.htm
variant;BONEGA;Jističochránič;PEP-10PJ 1M;PEP-10PJ 1M D4 AC 300mA;;4;1;1;1P;D;10;300;AC;AC;;;current;official_family_matrix;"Elektronické RCBO; jednomodulová varianta bez odpínání N dle výrobce.";https://www.bonega.cz/elektro/pep_chranicojistic_rcbo_10ka/obchod-sortiment.htm
variant;BONEGA;Jističochránič;PEP-10PJ 1M;PEP-10PJ 1M D4 AC 30mA;;4;1;1;1P;D;10;30;AC;AC;;;current;official_family_matrix;"Elektronické RCBO; jednomodulová varianta bez odpínání N dle výrobce.";https://www.bonega.cz/elektro/pep_chranicojistic_rcbo_10ka/obchod-sortiment.htm
variant;BONEGA;Jističochránič;PEP-10PJ 1M;PEP-10PJ 1M B6 AC 100mA;;6;1;1;1P;B;10;100;AC;AC;;;current;official_family_matrix;"Elektronické RCBO; jednomodulová varianta bez odpínání N dle výrobce.";https://www.bonega.cz/elektro/pep_chranicojistic_rcbo_10ka/obchod-sortiment.htm
variant;BONEGA;Jističochránič;PEP-10PJ 1M;PEP-10PJ 1M B6 AC 300mA;;6;1;1;1P;B;10;300;AC;AC;;;current;official_family_matrix;"Elektronické RCBO; jednomodulová varianta bez odpínání N dle výrobce.";https://www.bonega.cz/elektro/pep_chranicojistic_rcbo_10ka/obchod-sortiment.htm
variant;BONEGA;Jističochránič;PEP-10PJ 1M;PEP-10PJ 1M B6 AC 30mA;;6;1;1;1P;B;10;30;AC;AC;;;current;official_family_matrix;"Elektronické RCBO; jednomodulová varianta bez odpínání N dle výrobce.";https://www.bonega.cz/elektro/pep_chranicojistic_rcbo_10ka/obchod-sortiment.htm
variant;BONEGA;Jističochránič;PEP-10PJ 1M;PEP-10PJ 1M C6 AC 100mA;;6;1;1;1P;C;10;100;AC;AC;;;current;official_family_matrix;"Elektronické RCBO; jednomodulová varianta bez odpínání N dle výrobce.";https://www.bonega.cz/elektro/pep_chranicojistic_rcbo_10ka/obchod-sortiment.htm
variant;BONEGA;Jističochránič;PEP-10PJ 1M;PEP-10PJ 1M C6 AC 300mA;;6;1;1;1P;C;10;300;AC;AC;;;current;official_family_matrix;"Elektronické RCBO; jednomodulová varianta bez odpínání N dle výrobce.";https://www.bonega.cz/elektro/pep_chranicojistic_rcbo_10ka/obchod-sortiment.htm
variant;BONEGA;Jističochránič;PEP-10PJ 1M;PEP-10PJ 1M C6 AC 30mA;;6;1;1;1P;C;10;30;AC;AC;;;current;official_family_matrix;"Elektronické RCBO; jednomodulová varianta bez odpínání N dle výrobce.";https://www.bonega.cz/elektro/pep_chranicojistic_rcbo_10ka/obchod-sortiment.htm
variant;BONEGA;Jističochránič;PEP-10PJ 1M;PEP-10PJ 1M D6 AC 100mA;;6;1;1;1P;D;10;100;AC;AC;;;current;official_family_matrix;"Elektronické RCBO; jednomodulová varianta bez odpínání N dle výrobce.";https://www.bonega.cz/elektro/pep_chranicojistic_rcbo_10ka/obchod-sortiment.htm
variant;BONEGA;Jističochránič;PEP-10PJ 1M;PEP-10PJ 1M D6 AC 300mA;;6;1;1;1P;D;10;300;AC;AC;;;current;official_family_matrix;"Elektronické RCBO; jednomodulová varianta bez odpínání N dle výrobce.";https://www.bonega.cz/elektro/pep_chranicojistic_rcbo_10ka/obchod-sortiment.htm
variant;BONEGA;Jističochránič;PEP-10PJ 1M;PEP-10PJ 1M D6 AC 30mA;;6;1;1;1P;D;10;30;AC;AC;;;current;official_family_matrix;"Elektronické RCBO; jednomodulová varianta bez odpínání N dle výrobce.";https://www.bonega.cz/elektro/pep_chranicojistic_rcbo_10ka/obchod-sortiment.htm
variant;BONEGA;Jističochránič;PEP-10PJ 1M;PEP-10PJ 1M B8 AC 100mA;;8;1;1;1P;B;10;100;AC;AC;;;current;official_family_matrix;"Elektronické RCBO; jednomodulová varianta bez odpínání N dle výrobce.";https://www.bonega.cz/elektro/pep_chranicojistic_rcbo_10ka/obchod-sortiment.htm
variant;BONEGA;Jističochránič;PEP-10PJ 1M;PEP-10PJ 1M B8 AC 300mA;;8;1;1;1P;B;10;300;AC;AC;;;current;official_family_matrix;"Elektronické RCBO; jednomodulová varianta bez odpínání N dle výrobce.";https://www.bonega.cz/elektro/pep_chranicojistic_rcbo_10ka/obchod-sortiment.htm
variant;BONEGA;Jističochránič;PEP-10PJ 1M;PEP-10PJ 1M B8 AC 30mA;;8;1;1;1P;B;10;30;AC;AC;;;current;official_family_matrix;"Elektronické RCBO; jednomodulová varianta bez odpínání N dle výrobce.";https://www.bonega.cz/elektro/pep_chranicojistic_rcbo_10ka/obchod-sortiment.htm
variant;BONEGA;Jističochránič;PEP-10PJ 1M;PEP-10PJ 1M C8 AC 100mA;;8;1;1;1P;C;10;100;AC;AC;;;current;official_family_matrix;"Elektronické RCBO; jednomodulová varianta bez odpínání N dle výrobce.";https://www.bonega.cz/elektro/pep_chranicojistic_rcbo_10ka/obchod-sortiment.htm
variant;BONEGA;Jističochránič;PEP-10PJ 1M;PEP-10PJ 1M C8 AC 300mA;;8;1;1;1P;C;10;300;AC;AC;;;current;official_family_matrix;"Elektronické RCBO; jednomodulová varianta bez odpínání N dle výrobce.";https://www.bonega.cz/elektro/pep_chranicojistic_rcbo_10ka/obchod-sortiment.htm
variant;BONEGA;Jističochránič;PEP-10PJ 1M;PEP-10PJ 1M C8 AC 30mA;;8;1;1;1P;C;10;30;AC;AC;;;current;official_family_matrix;"Elektronické RCBO; jednomodulová varianta bez odpínání N dle výrobce.";https://www.bonega.cz/elektro/pep_chranicojistic_rcbo_10ka/obchod-sortiment.htm
variant;BONEGA;Jističochránič;PEP-10PJ 1M;PEP-10PJ 1M D8 AC 100mA;;8;1;1;1P;D;10;100;AC;AC;;;current;official_family_matrix;"Elektronické RCBO; jednomodulová varianta bez odpínání N dle výrobce.";https://www.bonega.cz/elektro/pep_chranicojistic_rcbo_10ka/obchod-sortiment.htm
variant;BONEGA;Jističochránič;PEP-10PJ 1M;PEP-10PJ 1M D8 AC 300mA;;8;1;1;1P;D;10;300;AC;AC;;;current;official_family_matrix;"Elektronické RCBO; jednomodulová varianta bez odpínání N dle výrobce.";https://www.bonega.cz/elektro/pep_chranicojistic_rcbo_10ka/obchod-sortiment.htm
variant;BONEGA;Jističochránič;PEP-10PJ 1M;PEP-10PJ 1M D8 AC 30mA;;8;1;1;1P;D;10;30;AC;AC;;;current;official_family_matrix;"Elektronické RCBO; jednomodulová varianta bez odpínání N dle výrobce.";https://www.bonega.cz/elektro/pep_chranicojistic_rcbo_10ka/obchod-sortiment.htm
variant;BONEGA;Jističochránič;PEP-10PJ 1M;PEP-10PJ 1M B10 AC 100mA;;10;1;1;1P;B;10;100;AC;AC;;;current;official_family_matrix;"Elektronické RCBO; jednomodulová varianta bez odpínání N dle výrobce.";https://www.bonega.cz/elektro/pep_chranicojistic_rcbo_10ka/obchod-sortiment.htm
variant;BONEGA;Jističochránič;PEP-10PJ 1M;PEP-10PJ 1M B10 AC 300mA;;10;1;1;1P;B;10;300;AC;AC;;;current;official_family_matrix;"Elektronické RCBO; jednomodulová varianta bez odpínání N dle výrobce.";https://www.bonega.cz/elektro/pep_chranicojistic_rcbo_10ka/obchod-sortiment.htm
variant;BONEGA;Jističochránič;PEP-10PJ 1M;PEP-10PJ 1M B10 AC 30mA;;10;1;1;1P;B;10;30;AC;AC;;;current;official_family_matrix;"Elektronické RCBO; jednomodulová varianta bez odpínání N dle výrobce.";https://www.bonega.cz/elektro/pep_chranicojistic_rcbo_10ka/obchod-sortiment.htm
variant;BONEGA;Jističochránič;PEP-10PJ 1M;PEP-10PJ 1M C10 AC 100mA;;10;1;1;1P;C;10;100;AC;AC;;;current;official_family_matrix;"Elektronické RCBO; jednomodulová varianta bez odpínání N dle výrobce.";https://www.bonega.cz/elektro/pep_chranicojistic_rcbo_10ka/obchod-sortiment.htm
variant;BONEGA;Jističochránič;PEP-10PJ 1M;PEP-10PJ 1M C10 AC 300mA;;10;1;1;1P;C;10;300;AC;AC;;;current;official_family_matrix;"Elektronické RCBO; jednomodulová varianta bez odpínání N dle výrobce.";https://www.bonega.cz/elektro/pep_chranicojistic_rcbo_10ka/obchod-sortiment.htm
variant;BONEGA;Jističochránič;PEP-10PJ 1M;PEP-10PJ 1M C10 AC 30mA;;10;1;1;1P;C;10;30;AC;AC;;;current;official_family_matrix;"Elektronické RCBO; jednomodulová varianta bez odpínání N dle výrobce.";https://www.bonega.cz/elektro/pep_chranicojistic_rcbo_10ka/obchod-sortiment.htm
variant;BONEGA;Jističochránič;PEP-10PJ 1M;PEP-10PJ 1M D10 AC 100mA;;10;1;1;1P;D;10;100;AC;AC;;;current;official_family_matrix;"Elektronické RCBO; jednomodulová varianta bez odpínání N dle výrobce.";https://www.bonega.cz/elektro/pep_chranicojistic_rcbo_10ka/obchod-sortiment.htm
